nodes-10000,edges-9999,weights
0,1769,67
1769,832,14
832,5156,14
1769,1530,24
832,9021,29
9021,632,29
632,6564,8
5156,8118,31
8118,5999,28
1530,6636,32
6636,577,17
6636,2591,39
2591,8670,24
8670,9313,5
1530,7385,40
7385,7084,10
7084,6113,1
6113,8615,27
7385,5071,29
5071,1483,28
1483,4986,35
4986,4451,10
4451,5399,32
1483,3842,36
3842,5801,20
3842,3774,21
3774,3909,9
3909,1271,7
5801,3983,25
3774,9095,27
9095,9545,2
9095,1579,11
9095,1692,24
1692,5934,19
5934,3055,24
1271,2166,35
2166,6866,10
6866,4703,4
6866,4033,30
2166,7027,34
7027,2891,30
1579,2918,36
2918,2786,30
2786,3980,8
5801,3274,36
3274,4210,9
4210,266,20
266,3888,16
6866,53,37
53,6019,15
53,1200,19
1200,6255,3
1200,9907,19
9907,386,38
386,6558,8
3909,1381,38
1381,6843,6
53,2262,41
2262,7060,34
7060,9854,4
7084,6799,41
4986,4079,44
5071,6706,44
6706,5569,1
6706,196,3
5569,2516,35
5801,8539,44
3983,5586,45
5586,4772,44
4772,8729,15
8729,5791,12
8729,8907,26
8907,9901,8
9901,9197,7
9901,5035,14
5035,3784,23
5035,936,34
936,2115,11
936,1807,39
1807,2355,24
5791,6745,43
8539,3037,46
3037,4381,14
5035,4052,46
4052,8666,13
8666,9301,35
9301,2491,25
4052,9238,44
9238,5392,2
9238,5905,26
8666,1424,46
8729,7493,46
7493,9637,20
9637,4015,5
7493,8243,22
8243,2656,2
8243,6434,2
6434,639,20
639,2164,21
2164,6368,3
8243,188,30
188,2732,22
2732,7395,4
4015,7891,30
7891,524,16
7891,8454,30
8454,8216,19
8216,8048,8
8048,3249,8
3249,1578,9
1578,3483,10
7891,5087,33
5087,6254,14
6254,1921,6
1921,9409,1
9409,85,1
85,785,13
785,8667,17
8667,4877,1
4877,5873,16
5873,414,11
414,3488,1
5873,5957,16
5873,5101,28
5101,9150,11
9150,9649,12
9649,391,23
4877,6728,28
6728,6581,12
5087,2474,30
2474,4972,30
6254,4821,31
9150,8238,31
4821,2174,33
8454,305,34
305,1905,18
1905,1475,23
785,479,34
8216,2030,35
2030,5438,24
5438,8833,34
8833,8707,2
8707,3650,9
8707,8711,11
3650,2139,26
2139,2274,8
2274,905,34
905,6437,22
6437,1142,4
905,7734,28
2139,9641,37
9641,1878,19
9641,5719,25
1878,494,30
494,6717,6
6717,1805,28
6728,6198,39
6198,8146,6
6198,8749,28
8749,5894,14
8749,60,26
6198,816,31
816,9818,11
9818,3855,17
3855,2476,1
2476,2489,6
2489,6458,12
6458,86,20
86,3129,14
86,5662,16
2489,1774,20
1774,8029,3
3855,2078,26
2078,9130,10
9130,6928,8
2078,7683,23
7683,4232,17
7683,9832,19
6928,8187,25
7683,4530,36
9818,2956,37
2956,5688,37
494,7172,39
7172,3321,2
7172,5511,6
5511,9326,36
9326,5126,6
4972,1857,40
1857,6014,19
2274,1981,40
1981,8008,14
3855,6302,40
6302,4316,26
4316,5283,28
5283,5574,18
5574,1524,40
6928,8967,40
8967,5034,4
5034,3748,34
3748,7218,34
7218,7117,2
5034,5692,37
5692,3530,20
4877,3117,41
3117,6248,23
6248,5992,5
6248,1487,17
6248,3357,19
5992,1505,20
3357,3453,20
6248,9073,22
1487,4706,23
4706,3837,25
9073,4924,40
1921,4350,41
4350,9303,16
9303,8559,27
9303,8612,30
8612,4823,3
4823,2289,7
2289,1756,15
2289,3868,17
4823,7549,22
7549,1081,29
1081,7461,3
3868,7771,29
7771,4686,5
7771,5236,17
5236,2425,20
4686,2060,21
2060,4901,4
7771,8507,30
8507,3470,2
3470,8776,8
3470,9151,12
8776,8639,23
8639,6851,13
6851,1610,4
6851,6398,4
8639,5991,21
9151,2617,25
2617,1242,19
1610,4937,25
4937,3703,20
3703,3848,10
3848,9526,13
1242,7148,27
7148,4700,6
4700,4860,17
4860,2301,17
4860,3029,28
2301,2969,29
6398,613,30
2969,7167,31
7167,5895,20
5895,3001,16
5895,98,19
3001,9798,22
9798,5090,22
5090,7785,5
7785,5597,27
2425,2834,32
2834,237,9
9151,806,35
806,5547,13
806,7342,14
7342,2603,26
2603,6317,20
2603,1846,22
6317,7815,31
7815,7024,6
7024,2883,5
7148,8658,35
8658,7446,4
7446,3701,1
3701,2663,7
8559,209,36
209,1519,23
8776,885,36
2663,8699,36
8699,2745,37
2745,8287,28
1242,4132,38
7342,4377,39
4377,1,18
2663,1449,40
1449,497,7
497,1584,16
497,8092,17
8092,5622,7
5622,8830,4
1584,4628,26
4628,7524,25
7524,7475,1
3001,312,41
312,3259,3
3259,7561,15
7561,2573,19
2573,8703,14
7461,470,41
3650,6208,41
6437,1190,42
4937,5413,42
5413,4557,14
4557,5706,10
8507,407,43
407,3486,18
3486,7735,30
7735,9176,5
7735,7185,8
9176,2657,15
7735,9888,15
9888,6758,6
6758,7658,12
7658,4463,5
7658,950,19
6758,7126,20
7658,4345,23
4345,6640,16
6640,4206,6
6640,2940,18
9176,1077,29
1077,2614,13
2614,6264,18
6264,9024,5
9024,5389,24
950,9380,33
9380,1266,14
1266,8120,2
1266,4737,5
4737,8852,6
8852,8405,18
8405,1030,18
1030,1927,35
1927,4537,3
1927,5319,8
1927,4639,10
4639,7339,15
4639,429,17
429,7677,3
9888,3932,36
9024,7295,37
8120,2178,38
2178,6569,15
2178,5810,20
5810,2169,2
2169,1678,5
2169,648,17
648,1204,3
648,2199,12
5810,8083,23
8083,5504,12
5504,1737,25
5810,9917,27
9917,3077,4
6569,8526,32
9917,9711,34
9711,919,18
919,5874,33
4537,8567,38
5504,4219,39
4219,3462,25
3462,7327,9
7327,5566,19
1030,8917,39
8917,4467,25
4467,8841,10
8841,6854,32
5504,3040,40
3040,5647,21
5647,5672,37
4206,7081,40
7658,5769,41
5769,8993,8
8993,7391,5
7391,9953,31
9953,8326,2
470,2053,43
2053,5628,39
5628,6995,4
