ISBN,Title,Author,Publisher Group,Publ Date
9780552149518,Da Vinci Code,Brown Dan,Transworld Grp,2004
9780747532743,Harry Potter and the Philosopher's Stone,Rowling J. K.,Bloomsbury Grp,1997
9780747538486,Harry Potter and the Chamber of Secrets,Rowling J. K.,Bloomsbury Grp,1999
9780552150736,Angels and Demons,Brown Dan,Transworld Grp,2003
9780747551003,Harry Potter and the Order of the Phoenix,Rowling J. K.,Bloomsbury Grp,2003
9780747581086,Harry Potter and the Half-blood Prince:Children's Edition,Rowling J. K.,Bloomsbury Grp,2005
9780747591054,Harry Potter and the Deathly Hallows,Rowling J. K.,Bloomsbury Grp,2007
9780747546290,Harry Potter and the Prisoner of Azkaban,Rowling J. K.,Bloomsbury Grp,2000
9781904233657,Twilight,Meyer Stephenie Little,Brown Book Grp,2007
9780747550990,Harry Potter and the Goblet of Fire,Rowling J. K.,Bloomsbury Grp,2001
9780552151764,Deception Point,Brown Dan,Transworld Grp,2004
9781904233886,New Moon,Meyer Stephenie Little,Brown Book Grp,2007
9780330457729,Lovely Bones,Sebold Alice,Pan Macmillan Grp,2009
9780552151696,Digital Fortress,Brown Dan,Transworld Grp,2004
9780099450252,Curious Incident of the Dog in the Night-time,Haddon Mark,Random House Grp,2004
9781904233916,Eclipse,Meyer Stephenie Little,Brown Book Grp,2008
9781847245458,Girl with the Dragon Tattoo: The Millennium Trilogy,Larsson Stieg,Quercus Grp,2008
9780747566533,Kite Runner,Hosseini Khaled,Bloomsbury Grp,2004
9780099464464,Time Traveler's Wife,Niffenegger Audrey,Random House Grp,2004
